Statistical profiling result from isolate-0x40c1d20-v8-25259.log, (34379 ticks, 2082 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  v8::internal::Scope::DeserializeScopeChain(v8::internal::Zone*, v8::internal::ScopeInfo*, v8::internal::DeclarationScope*, v8::internal::AstValueFactory*, v8::internal::Scope::DeserializationMode)
      1    0.0%    0.0%  v8::internal::SaveContext::~SaveContext()
      1    0.0%    0.0%  v8::internal::Runtime_TryInstallOptimizedCode(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_StringToNumber(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_PushBlockContext(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_KeyedLoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_InterpreterNewClosure(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_DefineClass(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_AddNamedProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::PerIsolateAssertScope<(v8::internal::PerIsolateAssertType)1, false>::IsAllowed(v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>, bool)
      1    0.0%    0.0%  v8::internal::JSReceiver::DeleteProperty(v8::internal::LookupIterator*, v8::internal::LanguageMode)
      1    0.0%    0.0%  v8::internal::Factory::NewFixedArray(int, v8::internal::PretenureFlag)
      1    0.0%    0.0%  v8::internal::Builtin_ObjectSetPrototypeOf(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Builtin_ObjectDefineProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Builtin_ArrayBufferConstructor_ConstructStub(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::(anonymous namespace)::EnsureFeedbackMetadata(v8::internal::CompilationInfo*)
      1    0.0%    0.0%  v8::TryCatch::SetVerbose(bool)
      1    0.0%    0.0%  v8::Isolate::SuppressMicrotaskExecutionScope::SuppressMicrotaskExecutionScope(v8::Isolate*)
      1    0.0%    0.0%  node::StringBytes::IsValidString(v8::Local<v8::String>, node::encoding)

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   7575   22.0%  write
   7542   99.6%    v8::internal::Runtime_DateCurrentTime(int, v8::internal::Object**, v8::internal::Isolate*)
   5474   72.6%      LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
   1798   32.8%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:273:25
   1798  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
   1479   82.3%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
    313   17.4%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:96:43
   1459   26.7%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:220:38
   1459  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
   1378   94.4%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     60    4.1%            LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:219:11
     21    1.4%            LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
    975   17.8%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:46:33
    975  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
    846   86.8%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
    115   11.8%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:42:31
     14    1.4%            LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
    518    9.5%        LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
    292   56.4%          LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
    121   41.4%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:220:38
    107   36.6%            LazyCompile: *self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
     62   21.2%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     80   15.4%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:93:13
     80  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
     63   12.2%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:148:7
     63  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
     53   10.2%          LazyCompile: *loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
     53  100.0%            LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
     15    2.9%          LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
     13   86.7%            Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:148:7
      2   13.3%            Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:93:13
     15    2.9%          Function: ~loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
     15  100.0%            LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
    371    6.8%        LazyCompile: *self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
    371  100.0%          LazyCompile: *self.forEach.err /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:288:8
    371  100.0%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
    209    3.8%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:118:36
    209  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
    158   75.6%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     46   22.0%            LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:114:13
      5    2.4%            LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
     66    1.2%        LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     66  100.0%          LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:46:33
     66  100.0%            LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
    654    8.7%      LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
    654  100.0%        LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
    410   62.7%          LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
    406   99.0%            LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
    109   16.7%          LazyCompile: *self.whilst.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:85:35
     64   58.7%            LazyCompile: *loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
     42   38.5%            LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:75:7
      3    2.8%            LazyCompile: *doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:24:9
     68   10.4%          LazyCompile: *doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:24:9
     68  100.0%            LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:511:69
     58    8.9%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:209:10
     58  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      9    1.4%          LazyCompile: *waterfall /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:108:12
      4   44.4%            Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:209:10
      3   33.3%            Function: ~self.whilst.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:85:35
      2   22.2%            Function: ~main /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:29:7
    272    3.6%      LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:96:43
    272  100.0%        LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
    229   84.2%          LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
    223   97.4%            LazyCompile: *self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
      6    2.6%            Function: ~self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
     40   14.7%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:93:13
     40  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      3    1.1%          LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
      3  100.0%            Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:93:13
    221    2.9%      LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:511:69
    221  100.0%        Builtin: AsyncFunctionAwaitResolveClosure
    221  100.0%          Builtin: PromiseHandle
    217   98.2%            Stub: CallApiCallbackStub
      4    1.8%            node::(anonymous namespace)::RunMicrotasks(v8::FunctionCallbackInfo<v8::Value> const&)
    176    2.3%      LazyCompile: *doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:24:9
    155   88.1%        LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:511:69
    155  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
    155  100.0%            Builtin: PromiseHandle
     15    8.5%        Function: ~loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
     15  100.0%          LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
     15  100.0%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      6    3.4%        Function: ~self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      6  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
      4   66.7%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      2   33.3%            LazyCompile: *waterfall /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:108:12
    123    1.6%      LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:42:31
    123  100.0%        LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     64   52.0%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:40:7
     64  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
     59   48.0%          LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     59  100.0%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
    110    1.5%      LazyCompile: *self.whilst.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:85:35
     57   51.8%        LazyCompile: *loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
     57  100.0%          LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
     57  100.0%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     49   44.5%        LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:75:7
     49  100.0%          LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
     49  100.0%            LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
      4    3.6%        LazyCompile: *doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:24:9
      4  100.0%          Function: ~loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
      4  100.0%            LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
     84    1.1%      LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:40:7
     83   98.8%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
     83  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     83  100.0%            LazyCompile: *doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:24:9
      1    1.2%        LazyCompile: *doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:24:9
      1  100.0%          Function: ~self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      1  100.0%            LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28

   2082    6.1%  UNKNOWN

   1091    3.2%  /lib/x86_64-linux-gnu/libc-2.24.so
    436   40.0%    v8::internal::Runtime_StringReplaceGlobalRegExpWithString(int, v8::internal::Object**, v8::internal::Isolate*)
    436  100.0%      Builtin: StringPrototypeReplace
    401   92.0%        LazyCompile: *serializeQuad /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/NQuads.js:171:23
    236   58.9%          LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:273:25
    236  100.0%            LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
    165   41.1%          LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:220:38
    165  100.0%            LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     24    5.5%        LazyCompile: *async.auto.hash /home/matt/dev/ld-hasher/index.js:97:25
     24  100.0%          LazyCompile: *runTask /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1592:21
     24  100.0%            LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1558:34
      7    1.6%        LazyCompile: *format url.js:569:39
      7  100.0%          LazyCompile: *async.auto.hash /home/matt/dev/ld-hasher/index.js:97:25
      7  100.0%            LazyCompile: *runTask /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1592:21
    324   29.7%    v8::internal::Runtime_DateCurrentTime(int, v8::internal::Object**, v8::internal::Isolate*)
    236   72.8%      LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     78   33.1%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:273:25
     78  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     67   85.9%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     10   12.8%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:96:43
      1    1.3%            LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
     72   30.5%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:220:38
     72  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     70   97.2%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      2    2.8%            LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:219:11
     39   16.5%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:46:33
     39  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     33   84.6%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      4   10.3%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:42:31
      2    5.1%            LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
     20    8.5%        LazyCompile: *self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
     20  100.0%          LazyCompile: *self.forEach.err /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:288:8
     20  100.0%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     16    6.8%        LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
     10   62.5%          LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      5   50.0%            LazyCompile: *self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
      4   40.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:220:38
      1   10.0%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      2   12.5%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:148:7
      2  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      2   12.5%          LazyCompile: *loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
      2  100.0%            LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
      1    6.3%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:93:13
      1  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      1    6.3%          Function: ~loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
      1  100.0%            LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
      5    2.1%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:118:36
      5  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
      4   80.0%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      1   20.0%            LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:114:13
      3    1.3%        LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      3  100.0%          LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:46:33
      3  100.0%            LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     26    8.0%      LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
     26  100.0%        LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     15   57.7%          LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     15  100.0%            LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
      5   19.2%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:209:10
      5  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      4   15.4%          LazyCompile: *self.whilst.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:85:35
      2   50.0%            LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:75:7
      2   50.0%            LazyCompile: *loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
      2    7.7%          LazyCompile: *doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:24:9
      2  100.0%            LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:511:69
     16    4.9%      LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:96:43
     16  100.0%        LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     11   68.8%          LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
     11  100.0%            LazyCompile: *self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
      4   25.0%          LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:93:13
      4  100.0%            LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      1    6.3%          LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
      1  100.0%            Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:93:13
     11    3.4%      LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:511:69
     11  100.0%        Builtin: AsyncFunctionAwaitResolveClosure
     11  100.0%          Builtin: PromiseHandle
     11  100.0%            Stub: CallApiCallbackStub
      4    1.2%      LazyCompile: *self.whilst.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:85:35
      3   75.0%        LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:75:7
      3  100.0%          LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      3  100.0%            LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
      1   25.0%        LazyCompile: *loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
      1  100.0%          LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
      1  100.0%            LazyCompile: *iterate /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:96:22
      4    1.2%      LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:40:7
      4  100.0%        LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
      4  100.0%          LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
